SampleID,RNA-Seq_Sample_Preparation,RNA-Seq_Sequencing_Machine,RNA-Seq_Library_Selection,RNA-Seq_Sequencing_Approach,RNA-Seq_ReadLength_bp,RNA-Seq_StrandedAnalysis_InferExperiment_PeSense,RNA-Seq_StrandedAnalysis_InferExperiment_AntiSense,RNA-Seq_StrandedAnalysis_InferExperiment_Failed,RNA-Seq_Predicted_Strandness_InferExperiment
SJACT001_D,Fresh/Frozen,"HiSeq2000,GAIIX",PolyA,Paired_End,101,0.4888,0.4884,0.0228,Unstranded
SJACT002_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4627,0.4588,0.0785,Unstranded
SJACT003_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.473,0.4673,0.0597,Unstranded
SJACT005_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4632,0.4668,0.07,Unstranded
SJACT006_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4788,0.4771,0.0441,Unstranded
SJACT007_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.467,0.4669,0.0661,Unstranded
SJACT060_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4722,0.476,0.0518,Unstranded
SJACT061_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4744,0.4763,0.0494,Unstranded
SJACT062_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4716,0.4762,0.0522,Unstranded
SJACT063_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4612,0.4639,0.0749,Unstranded
SJACT064_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4801,0.4825,0.0374,Unstranded
SJACT065_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4687,0.474,0.0573,Unstranded
SJACT066_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4783,0.0492,Unstranded
SJACT067_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4621,0.4677,0.0702,Unstranded
SJACT068_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4601,0.462,0.0778,Unstranded
SJACT069_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4629,0.4649,0.0722,Unstranded
SJACT070_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4614,0.4645,0.074,Unstranded
SJACT071_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4733,0.479,0.0476,Unstranded
SJAMLM7001_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4729,0.4716,0.0555,Unstranded
